seed,file,name_presence,location_presence,rating_presence,price_presence,duration_presence,all5_presence
43,tourist_html/tourradar-0581.html,100,0,100,100,100,0
43,tourist_html/klook-0781.html,100,0,100,100,100,0
43,tourist_html/klook-1621.html,100,0,100,100,100,0
43,tourist_html/traveloka-0265.html,100,100,100,100,100,100
43,tourist_html/tourradar-0872.html,100,0,100,100,100,0
43,tourist_html/tourradar-1080.html,100,0,100,100,100,0
43,tourist_html/klook-1379.html,100,100,100,100,100,100
43,tourist_html/viator-1311.html,100,100,100,100,100,100
43,tourist_html/viator-0403.html,100,100,100,100,100,100
43,tourist_html/traveloka-1147.html,100,100,100,100,0,0
43,tourist_html/getyourguide-0388.html,100,100,100,100,100,100
43,tourist_html/viator-0938.html,100,100,100,100,100,100
43,tourist_html/klook-0882.html,100,100,100,100,0,0
43,tourist_html/klook-1371.html,100,100,0,100,0,0
43,tourist_html/viator-0390.html,100,100,100,100,100,100
43,tourist_html/traveloka-1375.html,100,100,100,100,100,100
43,tourist_html/getyourguide-0487.html,100,100,100,100,100,100
43,tourist_html/getyourguide-1021.html,100,100,100,100,100,100
43,tourist_html/getyourguide-1928.html,100,100,100,100,100,100
43,tourist_html/getyourguide-1831.html,100,100,100,100,100,100
43,tourist_html/tourradar-1230.html,100,0,100,100,100,0
43,tourist_html/tourradar-1900.html,100,0,100,100,100,0
43,tourist_html/traveloka-1233.html,100,100,100,100,100,100
43,tourist_html/klook-0304.html,100,100,100,100,0,0
43,tourist_html/klook-0699.html,100,100,100,100,100,100
43,tourist_html/traveloka-1176.html,100,100,100,100,100,100
43,tourist_html/klook-0956.html,100,100,100,100,100,100
43,tourist_html/klook-2075.html,100,100,100,100,100,100
43,tourist_html/getyourguide-1976.html,100,100,100,100,100,100
43,tourist_html/viator-0471.html,100,100,100,100,100,100
43,tourist_html/viator-0394.html,100,100,100,100,100,100
43,tourist_html/traveloka-0264.html,100,100,100,100,0,0
43,tourist_html/klook-1239.html,100,100,100,100,100,100
43,tourist_html/viator-1579.html,100,100,100,100,100,100
43,tourist_html/tourradar-0451.html,100,0,100,100,100,0
43,tourist_html/viator-0149.html,100,100,100,100,100,100
43,tourist_html/getyourguide-1459.html,100,100,100,100,100,100
43,tourist_html/traveloka-0627.html,100,100,100,100,100,100
43,tourist_html/klook-0979.html,100,100,0,100,100,0
43,tourist_html/tourradar-1848.html,100,0,100,100,100,0
43,tourist_html/viator-0707.html,100,100,100,100,100,100
43,tourist_html/traveloka-0713.html,100,100,100,100,100,100
43,tourist_html/traveloka-1627.html,100,100,100,100,100,100
43,tourist_html/viator-1555.html,100,100,100,100,100,100
43,tourist_html/getyourguide-0646.html,100,100,100,100,100,100
43,tourist_html/traveloka-1349.html,100,100,100,100,100,100
43,tourist_html/getyourguide-1027.html,100,100,100,100,100,100
43,tourist_html/getyourguide-1111.html,100,100,100,100,100,100
43,tourist_html/getyourguide-0643.html,100,100,100,100,100,100
43,tourist_html/klook-0343.html,100,0,100,100,100,0
43,tourist_html/viator-1869.html,100,100,100,100,100,100
