seed,file,name_presence,price_presence,material_presence,color_presence,size_presence,all5_presence
43,fashion_html/hm-0405.html,100,100,100,100,100,100
43,fashion_html/zara-1383.html,100,100,100,100,0,0
43,fashion_html/hm-0319.html,100,0,100,100,100,0
43,fashion_html/hm-1214.html,100,100,0,100,0,0
43,fashion_html/24s-2178.html,100,100,100,100,100,100
43,fashion_html/zara-1176.html,100,100,100,100,100,100
43,fashion_html/farfetch-1738.html,100,100,100,100,0,0
43,fashion_html/farfetch-2087.html,100,100,100,100,100,100
43,fashion_html/zara-0459.html,100,100,100,100,100,100
43,fashion_html/farfetch-0086.html,100,100,100,100,100,100
43,fashion_html/farfetch-1624.html,100,100,100,100,0,0
43,fashion_html/flannels-0319.html,100,100,0,100,100,0
43,fashion_html/hm-0196.html,100,100,100,100,100,100
43,fashion_html/24s-0732.html,100,100,100,100,100,100
43,fashion_html/24s-1066.html,100,100,100,100,100,100
43,fashion_html/zara-0864.html,100,100,100,100,0,0
43,fashion_html/flannels-1072.html,100,100,100,100,100,100
43,fashion_html/flannels-0528.html,100,100,0,100,100,0
43,fashion_html/24s-1603.html,100,100,100,100,100,100
43,fashion_html/flannels-0104.html,100,100,100,100,100,100
43,fashion_html/24s-0422.html,100,100,100,100,100,100
43,fashion_html/hm-0936.html,100,0,100,100,100,0
43,fashion_html/flannels-1345.html,100,100,0,100,100,0
43,fashion_html/flannels-1782.html,100,100,100,100,100,100
43,fashion_html/farfetch-0040.html,100,100,100,100,100,100
43,fashion_html/flannels-1964.html,100,100,100,100,100,100
43,fashion_html/farfetch-2007.html,100,100,100,100,100,100
43,fashion_html/flannels-0882.html,100,100,100,100,100,100
43,fashion_html/farfetch-0177.html,100,100,100,100,100,100
43,fashion_html/24s-0381.html,100,100,100,100,100,100
43,fashion_html/24s-1708.html,100,100,100,100,100,100
43,fashion_html/24s-1754.html,100,100,100,100,100,100
43,fashion_html/zara-0536.html,100,100,100,100,0,0
43,fashion_html/flannels-1109.html,100,100,0,100,100,0
43,fashion_html/24s-0571.html,100,100,100,100,100,100
43,fashion_html/zara-1077.html,100,100,100,100,0,0
43,fashion_html/flannels-0514.html,100,100,100,100,100,100
43,fashion_html/24s-0460.html,100,100,100,100,100,100
43,fashion_html/24s-1581.html,100,100,100,100,100,100
43,fashion_html/hm-1764.html,100,100,100,100,0,0
43,fashion_html/flannels-0248.html,100,100,100,100,100,100
43,fashion_html/zara-1850.html,100,100,100,100,100,100
43,fashion_html/zara-1086.html,100,100,100,100,100,100
43,fashion_html/24s-1882.html,100,100,100,100,100,100
43,fashion_html/hm-2007.html,100,100,0,100,0,0
43,fashion_html/flannels-0901.html,100,100,0,100,100,0
43,fashion_html/flannels-0986.html,100,100,0,100,100,0
43,fashion_html/farfetch-0689.html,100,100,100,100,100,100
43,fashion_html/24s-0864.html,100,100,100,100,100,100
43,fashion_html/24s-2152.html,100,100,100,100,100,100
43,fashion_html/24s-0988.html,100,100,100,100,100,100
43,fashion_html/flannels-0790.html,100,100,0,100,100,0
43,fashion_html/24s-1913.html,100,100,100,100,100,100
43,fashion_html/farfetch-1339.html,100,100,100,100,100,100
43,fashion_html/hm-2017.html,100,100,0,100,0,0
43,fashion_html/farfetch-1990.html,100,100,100,100,100,100
43,fashion_html/farfetch-0064.html,100,100,100,100,100,100
43,fashion_html/hm-0105.html,100,100,100,100,100,100
43,fashion_html/farfetch-1968.html,100,100,100,100,100,100
